Objects
300
,,Global Angle Robot_1:Robot_1,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,-0.006485,-0.016406,0.007322,228.089188,-1250.405396,178.234421
2,0,-0.006363,-0.016527,0.007512,228.085037,-1250.392578,178.211884
3,0,-0.006603,-0.016962,0.007461,228.087387,-1250.390747,178.218353
4,0,-0.006494,-0.016634,0.007404,228.085175,-1250.411011,178.231842
5,0,-0.006598,-0.016569,0.007312,228.095535,-1250.380493,178.200928
6,0,-0.006521,-0.016840,0.007413,228.083557,-1250.396362,178.221558
7,0,-0.006522,-0.016497,0.007408,228.085770,-1250.390015,178.220352
8,0,-0.006501,-0.016634,0.007550,228.086029,-1250.382935,178.211090
9,0,-0.006434,-0.016731,0.007422,228.083633,-1250.387817,178.211731
10,0,-0.006515,-0.016551,0.007512,228.085632,-1250.395386,178.227982
11,0,-0.006507,-0.016437,0.007450,228.083420,-1250.391968,178.208374
12,0,-0.006606,-0.016822,0.007401,228.086670,-1250.379272,178.217575
13,0,-0.006534,-0.016795,0.007425,228.093292,-1250.400024,178.221939
14,0,-0.006512,-0.016657,0.007301,228.088333,-1250.399170,178.224854
15,0,-0.006466,-0.016490,0.007552,228.090576,-1250.398926,178.224731
16,0,-0.006511,-0.016499,0.007439,228.083084,-1250.390259,178.204208
17,0,-0.006343,-0.016731,0.007370,228.083054,-1250.390015,178.208588
18,0,-0.006528,-0.016473,0.007540,228.083328,-1250.381470,178.212357
19,0,-0.006554,-0.016681,0.007386,228.094833,-1250.383545,178.211533
20,0,-0.006462,-0.016652,0.007471,228.080261,-1250.395264,178.212860
21,0,-0.006580,-0.016786,0.007469,228.087509,-1250.398193,178.229828
22,0,-0.006611,-0.016771,0.007505,228.081726,-1250.395630,178.203537
23,0,-0.006505,-0.016603,0.007241,228.096436,-1250.389526,178.213882
24,0,-0.006492,-0.016966,0.007422,228.089630,-1250.386963,178.211823
25,0,-0.006543,-0.016627,0.007347,228.096130,-1250.396118,178.215866
26,0,-0.006527,-0.016531,0.007485,228.090393,-1250.387817,178.212692
27,0,-0.006437,-0.016777,0.007384,228.083481,-1250.394287,178.218094
28,0,-0.006525,-0.016425,0.007537,228.085464,-1250.382080,178.212631
29,0,-0.006573,-0.016732,0.007503,228.080490,-1250.394165,178.218002
30,0,-0.006497,-0.016560,0.007521,228.086700,-1250.392212,178.216995
31,0,-0.006687,-0.016695,0.007432,228.086243,-1250.387329,178.202042
32,0,-0.006467,-0.016738,0.007410,228.073181,-1250.386719,178.210312
33,0,-0.006613,-0.016849,0.007509,228.085266,-1250.392700,178.220444
34,0,-0.006574,-0.016546,0.007469,228.081223,-1250.391113,178.220901
35,0,-0.006440,-0.016677,0.007382,228.086227,-1250.380127,178.200256
36,0,-0.006610,-0.016625,0.007496,228.081375,-1250.393921,178.213562
37,0,-0.006623,-0.016953,0.007538,228.080521,-1250.391479,178.209976
38,0,-0.006449,-0.016629,0.007346,228.088867,-1250.382568,178.203156
39,0,-0.006425,-0.016829,0.007431,228.082794,-1250.389282,178.213898
40,0,-0.006398,-0.016688,0.007468,228.087097,-1250.390503,178.212814
41,0,-0.006446,-0.016954,0.007416,228.086624,-1250.401978,178.236313
42,0,-0.006492,-0.016588,0.007481,228.082855,-1250.391235,178.220245
43,0,-0.006416,-0.016650,0.007403,228.080750,-1250.394775,178.207947
44,0,-0.006374,-0.016968,0.007548,228.084946,-1250.392700,178.219177
45,0,-0.006325,-0.016686,0.007366,228.079727,-1250.386963,178.212128
46,0,-0.006474,-0.016657,0.007477,228.084305,-1250.380249,178.209488
47,0,-0.006384,-0.016660,0.007527,228.085632,-1250.387451,178.222565
48,0,-0.006426,-0.016568,0.007558,228.082199,-1250.400757,178.223770
49,0,-0.006472,-0.016558,0.007490,228.080856,-1250.383545,178.207306
50,0,-0.006430,-0.016663,0.007370,228.081818,-1250.391846,178.214874
51,0,-0.006462,-0.016760,0.007498,228.082245,-1250.394897,178.219513
52,0,-0.006477,-0.016536,0.007543,228.078461,-1250.387329,178.221771
53,0,-0.006462,-0.016607,0.007405,228.085800,-1250.391602,178.216827
54,0,-0.006417,-0.017077,0.007343,228.084610,-1250.392700,178.211746
55,0,-0.006570,-0.016696,0.007394,228.087158,-1250.389038,178.217346
56,0,-0.006478,-0.016844,0.007325,228.101532,-1250.378784,178.214142
57,0,-0.006525,-0.016748,0.007450,228.081131,-1250.381836,178.213287
58,0,-0.006463,-0.016435,0.007593,228.075195,-1250.406494,178.232010
59,0,-0.006550,-0.016657,0.007590,228.084991,-1250.375977,178.205246
60,0,-0.006434,-0.016517,0.007383,228.081985,-1250.393188,178.224686
61,0,-0.006638,-0.016735,0.007462,228.085556,-1250.388062,178.211136
62,0,-0.006472,-0.016826,0.007443,228.087936,-1250.379272,178.209946
63,0,-0.006496,-0.016798,0.007491,228.075439,-1250.374634,178.218582
64,0,-0.006373,-0.016680,0.007613,228.084625,-1250.388794,178.217667
65,0,-0.006642,-0.016308,0.007529,228.091064,-1250.380737,178.213181
66,0,-0.006411,-0.017117,0.007336,228.086731,-1250.384033,178.216965
67,0,-0.006631,-0.016652,0.007328,228.085510,-1250.388672,178.210892
68,0,-0.006443,-0.016614,0.007487,228.077850,-1250.392700,178.220306
69,0,-0.006457,-0.017084,0.007438,228.085922,-1250.378052,178.212601
70,0,-0.006472,-0.016760,0.007475,228.087784,-1250.389404,178.211136
71,0,-0.006566,-0.016879,0.007506,228.086792,-1250.396484,178.226563
72,0,-0.006484,-0.016863,0.007338,228.077393,-1250.382690,178.214569
73,0,-0.006513,-0.016978,0.007471,228.082718,-1250.393311,178.222351
74,0,-0.006502,-0.016863,0.007541,228.093994,-1250.379272,178.208542
75,0,-0.006455,-0.016728,0.007572,228.090073,-1250.386719,178.226120
76,0,-0.006537,-0.016852,0.007388,228.083603,-1250.384277,178.215454
77,0,-0.006572,-0.016997,0.007292,228.086990,-1250.377930,178.203247
78,0,-0.006489,-0.016790,0.007546,228.079041,-1250.390991,178.231049
79,0,-0.006391,-0.016759,0.007414,228.080414,-1250.385254,178.222565
80,0,-0.006655,-0.016867,0.007474,228.084930,-1250.392334,178.223602
81,0,-0.006480,-0.016853,0.007516,228.081711,-1250.392212,178.228622
82,0,-0.006459,-0.016395,0.007519,228.081436,-1250.390137,178.224411
83,0,-0.006586,-0.017056,0.007385,228.087189,-1250.390137,178.218750
84,0,-0.006568,-0.016980,0.007404,228.084335,-1250.387695,178.224457
85,0,-0.006464,-0.016679,0.007532,228.088562,-1250.378296,178.216232
86,0,-0.006404,-0.016954,0.007436,228.082901,-1250.379517,178.211288
87,0,-0.006544,-0.016609,0.007420,228.080978,-1250.384277,178.216156
88,0,-0.006363,-0.017024,0.007395,228.088577,-1250.381348,178.211380
89,0,-0.006481,-0.016688,0.007409,228.082214,-1250.386719,178.214691
90,0,-0.006508,-0.016742,0.007374,228.083862,-1250.389648,178.223434
91,0,-0.006448,-0.016542,0.007505,228.089035,-1250.393311,178.219421
92,0,-0.006359,-0.016693,0.007417,228.077896,-1250.387085,178.225769
93,0,-0.006532,-0.016795,0.007433,228.092239,-1250.398193,178.229950
94,0,-0.006317,-0.016876,0.007385,228.084167,-1250.386108,178.217987
95,0,-0.006598,-0.016704,0.007403,228.090118,-1250.396240,178.224106
96,0,-0.006431,-0.016639,0.007422,228.087830,-1250.390625,178.231140
97,0,-0.006401,-0.016471,0.007519,228.088470,-1250.402344,178.233917
98,0,-0.006386,-0.016748,0.007556,228.082016,-1250.381714,178.212021
99,0,-0.006465,-0.016554,0.007440,228.078766,-1250.379028,178.218353
100,0,-0.006557,-0.017198,0.007376,228.080460,-1250.388672,178.227921
101,0,-0.006498,-0.016885,0.007383,228.094055,-1250.395752,178.219284
102,0,-0.006458,-0.016833,0.007486,228.083084,-1250.392456,178.221436
103,0,-0.006492,-0.016616,0.007459,228.082718,-1250.394653,178.229919
104,0,-0.006597,-0.016797,0.007406,228.080688,-1250.400757,178.225677
105,0,-0.006647,-0.016909,0.007327,228.085968,-1250.387085,178.227402
106,0,-0.006436,-0.016588,0.007394,228.075470,-1250.384033,178.213745
107,0,-0.006497,-0.016855,0.007461,228.080597,-1250.389160,178.218842
108,0,-0.006518,-0.016830,0.007441,228.084412,-1250.399170,178.225830
109,0,-0.006489,-0.016766,0.007560,228.084808,-1250.397217,178.233643
110,0,-0.006630,-0.016554,0.007502,228.086563,-1250.384766,178.226563
111,0,-0.006458,-0.016726,0.007523,228.091888,-1250.394165,178.228058
112,0,-0.006449,-0.016988,0.007392,228.082870,-1250.396729,178.230896
113,0,-0.006449,-0.016793,0.007519,228.080841,-1250.389160,178.228165
114,0,-0.006470,-0.016475,0.007547,228.082764,-1250.400635,178.216873
115,0,-0.006409,-0.016618,0.007428,228.088928,-1250.384644,178.207474
116,0,-0.006463,-0.016370,0.007534,228.085190,-1250.395020,178.225143
117,0,-0.006414,-0.016682,0.007494,228.085083,-1250.387329,178.217117
118,0,-0.006454,-0.016812,0.007413,228.083023,-1250.384888,178.219940
119,0,-0.006423,-0.016743,0.007300,228.089493,-1250.394165,178.225494
120,0,-0.006440,-0.016435,0.007674,228.085342,-1250.390381,178.215515
121,0,-0.006619,-0.016844,0.007369,228.099899,-1250.400513,178.243073
122,0,-0.006398,-0.016721,0.007506,228.092224,-1250.385010,178.207001
